InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
549275,22485,SET OF 2 WOODEN MARKET CRATES,1,2011-04-07 13:09:00,12.75,15916.0,United Kingdom,12.75
568100,22630,DOLLY GIRL LUNCH BOX,12,2011-09-23 15:20:00,1.95,15475.0,United Kingdom,23.4
580997,23552,BICYCLE PUNCTURE REPAIR KIT ,6,2011-12-06 17:23:00,2.08,15023.0,United Kingdom,12.48
576872,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,10,2011-11-16 16:26:00,2.08,13238.0,United Kingdom,20.8
560263,71459,HANGING JAM JAR T-LIGHT HOLDER,48,2011-07-17 13:41:00,0.85,16342.0,United Kingdom,40.8
552953,21544,SKULLS  WATER TRANSFER TATTOOS ,5,2011-05-12 12:11:00,0.85,16745.0,United Kingdom,4.25
552572,22384,LUNCH BAG PINK POLKADOT,20,2011-05-10 12:11:00,1.65,14680.0,United Kingdom,33.0
575583,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,2,2011-11-10 11:55:00,1.25,14456.0,United Kingdom,2.5
538514,20685,DOORMAT RED RETROSPOT,2,2010-12-12 14:27:00,7.95,15044.0,United Kingdom,15.9
540498,84813,SET OF 4 DIAMOND NAPKIN RINGS,6,2011-01-09 10:06:00,12.75,17243.0,United Kingdom,76.5
540397,21068,VINTAGE BILLBOARD LOVE/HATE MUG,1,2011-01-06 18:57:00,1.25,13187.0,United Kingdom,1.25
545909,21209,MULTICOLOUR HONEYCOMB FAN,12,2011-03-08 09:45:00,1.65,15819.0,United Kingdom,19.8
575692,22595,GINGHAM HEART DECORATION,10,2011-11-10 16:27:00,0.85,12508.0,France,8.5
566735,22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1,2011-09-14 14:19:00,9.95,15707.0,United Kingdom,9.95
549434,22200,FRYING PAN PINK POLKADOT,24,2011-04-08 12:30:00,3.75,12647.0,Germany,90.0
560244,22210,WOOD STAMP SET BEST WISHES,1,2011-07-17 12:14:00,0.83,16931.0,United Kingdom,0.83
539038,22470,HEART OF WICKER LARGE,12,2010-12-15 14:45:00,2.95,15641.0,United Kingdom,35.400000000000006
560444,21394,RED POLKADOT BEAKER ,6,2011-07-18 17:15:00,0.39,13764.0,United Kingdom,2.34
568898,22617,BAKING SET SPACEBOY DESIGN,3,2011-09-29 13:17:00,4.95,13354.0,United Kingdom,14.85
559672,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,2011-07-11 14:04:00,0.42,14796.0,United Kingdom,3.36
554489,22614,PACK OF 12 SPACEBOY TISSUES,24,2011-05-24 13:46:00,0.29,17272.0,United Kingdom,6.959999999999999
547005,21746,SMALL RED RETROSPOT WINDMILL,12,2011-03-18 14:20:00,1.25,12474.0,Germany,15.0
573026,22491,PACK OF 12 COLOURED PENCILS,5,2011-10-27 13:25:00,0.85,17459.0,United Kingdom,4.25
579545,23345, DOLLY GIRL BEAKER,12,2011-11-30 10:18:00,1.25,13098.0,United Kingdom,15.0
539728,21135,VICTORIAN  METAL POSTCARD SPRING,8,2010-12-21 14:26:00,1.69,16270.0,United Kingdom,13.52
557975,84988,SET OF 72 PINK HEART PAPER DOILIES,12,2011-06-24 10:33:00,1.45,15981.0,United Kingdom,17.4
578018,21530,DAIRY MAID TOASTRACK,3,2011-11-22 13:08:00,0.79,15311.0,United Kingdom,2.37
536551,84949,SILVER HANGING T-LIGHT HOLDER,6,2010-12-01 14:34:00,1.65,17346.0,United Kingdom,9.9
559120,21931,JUMBO STORAGE BAG SUKI,5,2011-07-06 12:18:00,2.08,16393.0,United Kingdom,10.4
576865,23154,SET OF 4 JAM JAR MAGNETS,1,2011-11-16 16:08:00,2.08,12748.0,United Kingdom,2.08
544466,21666,RIDGED GLASS T-LIGHT HOLDER,10,2011-02-20 15:43:00,0.65,14606.0,United Kingdom,6.5
545928,21181,PLEASE ONE PERSON METAL SIGN,12,2011-03-08 11:59:00,2.1,14407.0,United Kingdom,25.200000000000003
571216,21232,STRAWBERRY CERAMIC TRINKET BOX,1,2011-10-14 13:06:00,1.25,16081.0,United Kingdom,1.25
581175,23281,FOLDING BUTTERFLY MIRROR RED  ,96,2011-12-07 15:16:00,0.72,14646.0,Netherlands,69.12
568991,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2011-09-29 16:44:00,2.1,18204.0,United Kingdom,4.2
554827,23168,CLASSIC CAFE SUGAR DISPENSER,36,2011-05-26 15:19:00,1.04,14646.0,Netherlands,37.44
578515,22991,GIRAFFE WOODEN RULER,1,2011-11-24 13:40:00,1.95,16885.0,United Kingdom,1.95
569672,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,1,2011-10-05 13:58:00,2.08,17841.0,United Kingdom,2.08
566980,23080,RED METAL BOX TOP SECRET,2,2011-09-16 09:56:00,8.25,15498.0,United Kingdom,16.5
537648,22356,CHARLOTTE BAG PINK POLKADOT,10,2010-12-07 15:48:00,0.85,12839.0,United Kingdom,8.5
567879,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,12,2011-09-22 14:53:00,1.25,16161.0,United Kingdom,15.0
573340,M,Manual,3,2011-10-30 11:55:00,0.79,14159.0,United Kingdom,2.37
569000,21166,COOK WITH WINE METAL SIGN ,12,2011-09-29 17:36:00,2.08,17015.0,United Kingdom,24.96
573248,23369,SET 36 COLOUR PENCILS LOVE LONDON,6,2011-10-28 12:09:00,1.25,14498.0,United Kingdom,7.5
561544,22740,POLKADOT PEN,48,2011-07-28 10:14:00,0.85,16170.0,United Kingdom,40.8
545991,21987,PACK OF 6 SKULL PAPER CUPS,5,2011-03-08 13:12:00,0.65,15311.0,United Kingdom,3.25
564172,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,2,2011-08-23 14:19:00,0.55,16033.0,United Kingdom,1.1
547492,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-03-23 12:06:00,4.95,12604.0,France,29.700000000000003
541595,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,2,2011-01-19 16:08:00,4.25,14606.0,United Kingdom,8.5
572703,22732,3D VINTAGE CHRISTMAS STICKERS ,1,2011-10-25 14:35:00,1.25,16110.0,United Kingdom,1.25
542408,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-01-27 16:29:00,1.65,13280.0,United Kingdom,16.5
549425,85028S,FRENCH CHATEAU SMALL FRUITBOWL,2,2011-04-08 11:54:00,1.95,14030.0,United Kingdom,3.9
538967,84946,ANTIQUE SILVER TEA GLASS ETCHED,24,2010-12-15 11:32:00,1.25,13495.0,United Kingdom,30.0
573340,23103,JINGLE BELL HEART DECORATION,1,2011-10-30 11:55:00,1.65,14159.0,United Kingdom,1.65
562418,23245,SET OF 3 REGENCY CAKE TINS,4,2011-08-04 16:34:00,4.95,16572.0,United Kingdom,19.8
544474,85230G,ORANGE VOTIVE CANDLE,24,2011-02-21 09:52:00,0.29,12423.0,Belgium,6.959999999999999
559305,21471,STRAWBERRY RAFFIA FOOD COVER,1,2011-07-07 12:56:00,3.75,17892.0,United Kingdom,3.75
540459,22971,QUEENS GUARD COFFEE MUG,36,2011-01-07 12:35:00,2.1,16191.0,United Kingdom,75.60000000000001
580092,22598,CHRISTMAS MUSICAL ZINC TREE,6,2011-12-01 14:38:00,0.85,13969.0,United Kingdom,5.1
568907,22133,PINK LOVE HEART SHAPE CUP,12,2011-09-29 13:35:00,0.85,15370.0,United Kingdom,10.2
543274,21500,PINK POLKADOT WRAP ,25,2011-02-06 12:48:00,0.42,17392.0,United Kingdom,10.5
573665,22766,PHOTO FRAME CORNICE,4,2011-10-31 16:24:00,2.95,13982.0,United Kingdom,11.8
580527,22642,SET OF 4 NAPKIN CHARMS STARS   ,4,2011-12-04 15:19:00,0.79,13736.0,United Kingdom,3.16
552183,84192,ASSORTED COLOUR METAL CAT ,3,2011-05-06 13:43:00,1.25,17604.0,United Kingdom,3.75
537759,22795,SWEETHEART RECIPE BOOK STAND,2,2010-12-08 11:42:00,6.75,13126.0,United Kingdom,13.5
558746,22671,FRENCH LAUNDRY SIGN BLUE METAL,4,2011-07-01 17:23:00,1.65,14415.0,United Kingdom,6.6
579093,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2011-11-28 10:54:00,2.55,13081.0,United Kingdom,81.6
549322,84750B,BLACK SMALL GLASS CAKE STAND,6,2011-04-08 10:20:00,0.39,16558.0,United Kingdom,2.34
544392,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,2011-02-18 11:54:00,3.39,14680.0,United Kingdom,81.36
566571,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-09-13 12:49:00,2.95,17037.0,United Kingdom,17.700000000000003
571274,23356,LOVE HOT WATER BOTTLE,2,2011-10-16 12:25:00,5.95,16934.0,United Kingdom,11.9
570721,23130,MISTLETOE HEART WREATH GREEN,4,2011-10-12 10:51:00,4.15,13842.0,United Kingdom,16.6
537765,22296,HEART IVORY TRELLIS LARGE,1,2010-12-08 12:08:00,1.65,14606.0,United Kingdom,1.65
580305,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1,2011-12-02 14:26:00,0.83,12970.0,United Kingdom,0.83
570769,POST,POSTAGE,2,2011-10-12 11:43:00,18.0,12664.0,Finland,36.0
548551,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-04-01 08:56:00,2.95,14886.0,United Kingdom,17.700000000000003
573320,22666,RECIPE BOX PANTRY YELLOW DESIGN,24,2011-10-30 10:29:00,2.55,15513.0,United Kingdom,61.2
542542,22192,BLUE DINER WALL CLOCK,4,2011-01-28 14:37:00,8.5,12431.0,Australia,34.0
554866,22723,SET OF 6 HERB TINS SKETCHBOOK,4,2011-05-27 10:41:00,3.95,13488.0,United Kingdom,15.8
563692,48194,DOORMAT HEARTS,1,2011-08-18 13:01:00,7.95,17243.0,United Kingdom,7.95
537154,22467,GUMBALL COAT RACK,4,2010-12-05 13:05:00,2.55,15808.0,United Kingdom,10.2
573393,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2011-10-30 15:08:00,0.29,14158.0,United Kingdom,6.959999999999999
541843,84459B,YELLOW METAL CHICKEN HEART ,12,2011-01-23 12:08:00,1.49,13659.0,United Kingdom,17.88
580364,22383,LUNCH BAG SUKI DESIGN ,10,2011-12-02 16:34:00,1.65,13309.0,United Kingdom,16.5
578120,22083,PAPER CHAIN KIT RETROSPOT,6,2011-11-23 10:21:00,2.95,14493.0,United Kingdom,17.700000000000003
576224,21993,FLORAL FOLK STATIONERY SET,12,2011-11-14 13:08:00,1.25,15458.0,United Kingdom,15.0
543040,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,4,2011-02-02 17:06:00,0.85,17337.0,United Kingdom,3.4
555162,20981,12 PENCILS TALL TUBE WOODLAND,12,2011-06-01 10:15:00,0.85,12473.0,Germany,10.2
565321,21208,PASTEL COLOUR HONEYCOMB FAN,12,2011-09-02 13:14:00,0.39,12437.0,France,4.68
557870,21932,SCANDINAVIAN PAISLEY PICNIC BAG,10,2011-06-23 12:36:00,1.65,14404.0,United Kingdom,16.5
574674,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,2,2011-11-06 12:30:00,1.45,14404.0,United Kingdom,2.9
550035,20711,JUMBO BAG TOYS ,10,2011-04-14 11:48:00,2.08,15039.0,United Kingdom,20.8
554088,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,12,2011-05-22 12:12:00,4.25,16801.0,United Kingdom,51.0
536973,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-03 13:43:00,2.95,17787.0,United Kingdom,23.6
551534,21723,ALPHABET HEARTS STICKER SHEET,24,2011-05-01 14:59:00,0.85,14655.0,United Kingdom,20.4
546155,22690,DOORMAT HOME SWEET HOME BLUE ,2,2011-03-10 08:29:00,7.95,15632.0,United Kingdom,15.9
568207,23353,6 GIFT TAGS VINTAGE CHRISTMAS ,12,2011-09-25 15:34:00,0.83,15150.0,United Kingdom,9.96
568051,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,2011-09-23 12:40:00,3.25,18189.0,United Kingdom,19.5
536742,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2010-12-02 13:14:00,1.49,16916.0,United Kingdom,2.98
545061,21476,STEEL SWEETHEART ROUND TABLE CREAM,1,2011-02-27 13:52:00,14.95,15547.0,United Kingdom,14.95
549910,20749,ASSORTED COLOUR MINI CASES,1,2011-04-12 17:12:00,7.95,16697.0,United Kingdom,7.95
557846,22037,ROBOT BIRTHDAY CARD,12,2011-06-23 10:44:00,0.42,17365.0,United Kingdom,5.04
563822,22413,METAL SIGN TAKE IT OR LEAVE IT ,12,2011-08-19 12:13:00,2.95,16184.0,United Kingdom,35.400000000000006
545073,22922,FRIDGE MAGNETS US DINER ASSORTED,12,2011-02-28 09:26:00,0.85,14036.0,United Kingdom,10.2
577082,23515,EMBROIDERED RIBBON REEL DAISY ,6,2011-11-17 15:31:00,2.08,15811.0,United Kingdom,12.48
568907,48194,DOORMAT HEARTS,4,2011-09-29 13:35:00,8.25,15370.0,United Kingdom,33.0
568668,23355,HOT WATER BOTTLE KEEP CALM,2,2011-09-28 13:00:00,4.95,15750.0,United Kingdom,9.9
546753,21828,EIGHT PIECE SNAKE  SET,6,2011-03-16 13:00:00,1.25,16383.0,United Kingdom,7.5
553185,22854,CREAM SWEETHEART EGG HOLDER,4,2011-05-15 12:35:00,4.95,17504.0,United Kingdom,19.8
541660,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-01-20 12:20:00,2.55,17787.0,United Kingdom,15.3
543653,21165,BEWARE OF THE CAT METAL SIGN ,4,2011-02-11 10:26:00,1.69,14796.0,United Kingdom,6.76
561092,23153,ZINC SWEETHEART WIRE LETTER RACK,4,2011-07-25 09:58:00,3.75,17054.0,United Kingdom,15.0
569400,22746,POPPY'S PLAYHOUSE LIVINGROOM ,30,2011-10-04 08:30:00,2.1,17381.0,United Kingdom,63.0
565129,20713,JUMBO BAG OWLS,1,2011-09-01 12:41:00,2.08,15719.0,United Kingdom,2.08
572512,23504,PLAYING CARDS JUBILEE UNION JACK,12,2011-10-24 14:35:00,1.25,15806.0,United Kingdom,15.0
547867,22626,BLACK KITCHEN SCALES,1,2011-03-27 13:56:00,8.5,13357.0,United Kingdom,8.5
569901,16011,ANIMAL STICKERS,6,2011-10-06 16:20:00,0.21,12923.0,United Kingdom,1.26
560921,22562,MONSTERS STENCIL CRAFT,12,2011-07-21 19:17:00,1.25,16224.0,United Kingdom,15.0
554359,22427,ENAMEL FLOWER JUG CREAM,3,2011-05-24 09:56:00,5.95,13590.0,United Kingdom,17.85
568662,21754,HOME BUILDING BLOCK WORD,2,2011-09-28 12:36:00,6.25,16764.0,United Kingdom,12.5
580153,21181,PLEASE ONE PERSON METAL SIGN,12,2011-12-02 10:23:00,2.1,12762.0,Portugal,25.200000000000003
563368,20726,LUNCH BAG WOODLAND,10,2011-08-16 09:00:00,1.65,13995.0,United Kingdom,16.5
545430,82486,WOOD S/3 CABINET ANT WHITE FINISH,8,2011-03-02 14:50:00,8.95,15636.0,United Kingdom,71.6
571067,23511,EMBROIDERED RIBBON REEL EMILY ,6,2011-10-13 15:08:00,2.08,16793.0,United Kingdom,12.48
564355,21380,WOODEN HAPPY BIRTHDAY GARLAND,6,2011-08-24 15:12:00,2.95,13507.0,United Kingdom,17.700000000000003
555558,22380,TOY TIDY SPACEBOY  ,2,2011-06-05 14:06:00,2.1,14159.0,United Kingdom,4.2
544461,44092C,PURPLE/COPPER HANGING LAMPSHADE,4,2011-02-20 14:08:00,0.85,13744.0,United Kingdom,3.4
571943,23284,DOORMAT KEEP CALM AND COME IN,6,2011-10-20 10:10:00,8.25,14638.0,United Kingdom,49.5
563350,22065,CHRISTMAS PUDDING TRINKET POT ,2,2011-08-15 14:10:00,1.45,14498.0,United Kingdom,2.9
541711,22416,SET OF 36 DOILIES SPACEBOY DESIGN ,36,2011-01-21 11:18:00,1.45,14646.0,Netherlands,52.2
536500,21754,HOME BUILDING BLOCK WORD,6,2010-12-01 12:35:00,5.95,17377.0,United Kingdom,35.7
569253,22550,HOLIDAY FUN LUDO,4,2011-10-03 10:55:00,3.75,13635.0,United Kingdom,15.0
560442,23239,SET OF 4 KNICK KNACK TINS POPPIES,1,2011-07-18 16:59:00,4.15,15860.0,United Kingdom,4.15
548148,22363,GLASS JAR MARMALADE ,2,2011-03-29 12:31:00,2.95,17931.0,United Kingdom,5.9
559607,84997B,CHILDRENS CUTLERY RETROSPOT RED ,4,2011-07-11 11:39:00,4.15,12681.0,France,16.6
556784,21891,TRADITIONAL WOODEN SKIPPING ROPE,2,2011-06-14 13:15:00,1.45,14461.0,United Kingdom,2.9
543770,16161U,WRAP SUKI AND FRIENDS,50,2011-02-11 15:39:00,0.42,13875.0,United Kingdom,21.0
580304,47566,PARTY BUNTING,10,2011-12-02 14:25:00,4.95,18055.0,United Kingdom,49.5
574478,21828,EIGHT PIECE SNAKE  SET,24,2011-11-04 12:27:00,1.25,17203.0,United Kingdom,30.0
557889,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,48,2011-06-23 13:51:00,0.29,12412.0,Denmark,13.919999999999998
544392,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-02-18 11:54:00,0.85,14680.0,United Kingdom,8.5
553540,82484,WOOD BLACK BOARD ANT WHITE FINISH,12,2011-05-17 15:32:00,6.75,17511.0,United Kingdom,81.0
571904,16045,POPART WOODEN PENCILS ASST,100,2011-10-19 14:41:00,0.04,12522.0,Germany,4.0
567662,22994,TRAVEL CARD WALLET RETROSPOT,4,2011-09-21 15:12:00,0.42,17758.0,United Kingdom,1.68
569866,23493,VINTAGE DOILY TRAVEL SEWING KIT,12,2011-10-06 14:50:00,1.95,12757.0,Portugal,23.4
544062,22121,NOEL WOODEN BLOCK LETTERS ,1,2011-02-15 13:19:00,5.95,15311.0,United Kingdom,5.95
568346,20657,TROPICAL LUGGAGE TAG,1,2011-09-26 15:28:00,2.46,14096.0,United Kingdom,2.46
565088,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-09-01 10:11:00,0.85,16145.0,United Kingdom,10.2
543371,35920,FOUR RABBIT EASTER DECORATIONS,6,2011-02-07 14:53:00,1.25,14048.0,United Kingdom,7.5
572047,21400,RED PUDDING SPOON,4,2011-10-20 12:13:00,0.12,16474.0,United Kingdom,0.48
554861,21408,SPOTTY PINK DUCK DOORSTOP,3,2011-05-27 10:29:00,4.25,12633.0,Germany,12.75
558461,22766,PHOTO FRAME CORNICE,1,2011-06-29 15:03:00,2.95,13263.0,United Kingdom,2.95
556672,21845,DAIRY MAID STRIPE MUG,12,2011-06-13 17:08:00,0.79,13742.0,United Kingdom,9.48
566042,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,2011-09-08 13:53:00,2.95,17811.0,United Kingdom,2.95
559921,82552,WASHROOM METAL SIGN,2,2011-07-13 15:42:00,1.45,13667.0,United Kingdom,2.9
553008,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-05-12 16:52:00,1.69,17315.0,United Kingdom,27.04
568710,21558,SKULL LUNCH BOX WITH CUTLERY ,1,2011-09-28 15:42:00,2.55,14649.0,United Kingdom,2.55
541596,84992,72 SWEETHEART FAIRY CAKE CASES,6,2011-01-19 16:18:00,0.55,17602.0,United Kingdom,3.3000000000000003
552217,21754,HOME BUILDING BLOCK WORD,3,2011-05-06 15:13:00,5.95,18170.0,United Kingdom,17.85
558860,82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,2,2011-07-04 12:18:00,1.25,17975.0,United Kingdom,2.5
540968,85129D,BEADED CRYSTAL HEART PINK SMALL,13,2011-01-12 13:40:00,1.25,17338.0,United Kingdom,16.25
580319,21408,SPOTTY PINK DUCK DOORSTOP,8,2011-12-02 15:39:00,1.95,15078.0,United Kingdom,15.6
580111,23201,JUMBO BAG ALPHABET,100,2011-12-01 15:55:00,1.79,12950.0,United Kingdom,179.0
537843,22778,GLASS CLOCHE SMALL,4,2010-12-08 15:16:00,3.95,15713.0,United Kingdom,15.8
547227,22922,FRIDGE MAGNETS US DINER ASSORTED,60,2011-03-21 15:40:00,0.85,12748.0,United Kingdom,51.0
545901,85199L,LARGE HANGING IVORY & RED WOOD BIRD,4,2011-03-07 17:52:00,0.65,15834.0,United Kingdom,2.6
569133,22339,CHRISTMAS TREE PAINTED ZINC ,96,2011-09-30 14:06:00,0.19,15185.0,United Kingdom,18.24
554441,71270,PHOTO CLIP LINE,12,2011-05-24 12:22:00,1.25,13213.0,United Kingdom,15.0
540023,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-01-04 12:58:00,3.25,15039.0,United Kingdom,6.5
545658,22077,6 RIBBONS RUSTIC CHARM,1,2011-03-04 14:13:00,1.65,14670.0,United Kingdom,1.65
540539,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-01-09 14:42:00,1.25,18260.0,United Kingdom,15.0
564856,20685,DOORMAT RED RETROSPOT,10,2011-08-31 09:11:00,6.75,12477.0,Germany,67.5
557745,22715,CARD WEDDING DAY,12,2011-06-22 12:16:00,0.42,15750.0,United Kingdom,5.04
578038,21790,VINTAGE SNAP CARDS,24,2011-11-22 14:10:00,0.85,14251.0,United Kingdom,20.4
564815,23174,REGENCY SUGAR BOWL GREEN,1,2011-08-30 12:00:00,4.15,12748.0,United Kingdom,4.15
570492,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-10-11 08:23:00,3.95,14194.0,United Kingdom,15.8
556042,20728,LUNCH BAG CARS BLUE,10,2011-06-08 12:44:00,1.65,14367.0,United Kingdom,16.5
543242,22841,ROUND CAKE TIN VINTAGE GREEN,2,2011-02-04 14:03:00,7.95,15090.0,United Kingdom,15.9
546005,22621,TRADITIONAL KNITTING NANCY,12,2011-03-08 15:17:00,1.45,14426.0,United Kingdom,17.4
572887,23009,I LOVE LONDON BABY GIFT SET,1,2011-10-26 13:47:00,16.95,12362.0,Belgium,16.95
577402,22507,MEMO BOARD RETROSPOT  DESIGN,3,2011-11-20 10:11:00,4.95,15465.0,United Kingdom,14.85
564713,22917,HERB MARKER ROSEMARY,2,2011-08-28 10:43:00,0.65,16768.0,United Kingdom,1.3
539079,22112,CHOCOLATE HOT WATER BOTTLE,6,2010-12-16 08:39:00,4.95,17496.0,United Kingdom,29.700000000000003
578074,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,4,2011-11-22 16:06:00,0.29,17590.0,United Kingdom,1.16
569322,21485,RETROSPOT HEART HOT WATER BOTTLE,12,2011-10-03 12:31:00,4.95,16912.0,United Kingdom,59.400000000000006
544691,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-02-23 09:09:00,0.55,13804.0,United Kingdom,13.2
538418,22417,PACK OF 60 SPACEBOY CAKE CASES,2,2010-12-12 12:00:00,0.55,17372.0,United Kingdom,1.1
566094,23445,ICE CREAM BUBBLES,20,2011-09-09 10:42:00,0.83,17965.0,United Kingdom,16.599999999999998
548496,22728,ALARM CLOCK BAKELIKE PINK,8,2011-03-31 13:40:00,3.75,12678.0,France,30.0
578935,23170,REGENCY TEA PLATE ROSES ,2,2011-11-27 12:52:00,1.65,15351.0,United Kingdom,3.3
